Id;Label;AltLabel;color
527;Mernissi Fatima;Node_alt_527;#79C074
528;Meyer Deon;Node_alt_528;#ED6869
529;Meyer Stephenie;Node_alt_529;#79C074
530;Millar Margaret;Node_alt_530;#79C074
531;Minato Kanae;Node_alt_531;#79C074
532;Monge Emiliano;Node_alt_532;#ED6869
533;Montalbán Manuel;Node_alt_533;#ED6869
534;Morgan Sally;Node_alt_534;#79C074
535;Moriarty Liane;Node_alt_535;#79C074
536;Morris Heather;Node_alt_536;#79C074
537;Morton Kate;Node_alt_537;#79C074
538;Mukherjee Neel;Node_alt_538;#ED6869
539;Müller Herta;Node_alt_539;#79C074
540;Murakami Ryū;Node_alt_540;#ED6869
541;Murata Sayaka;Node_alt_541;#79C074
542;Nafisi Azar;Node_alt_542;#79C074
543;Naipaul VS;Node_alt_543;#ED6869
544;Nair Anita;Node_alt_544;#79C074
545;Nettel Guadalupe;Node_alt_545;#79C074
546;Neuman Andrés;Node_alt_546;#ED6869
547;Nevo Eshkol;Node_alt_547;#ED6869
548;Nievo Ippolito;Node_alt_548;#ED6869
549;Noah Trevor;Node_alt_549;#ED6869
550;Obioma Chigozie;Node_alt_550;#ED6869
551;Ōe Kenzaburō;Node_alt_551;#ED6869
552;Ogawa Yōko;Node_alt_552;#79C074
553;Ohanesian Aline;Node_alt_553;#79C074
554;Omotoso Yewande;Node_alt_554;#79C074
555;Onuzo Chibundu;Node_alt_555;#79C074
556;Orga Irfan;Node_alt_556;#ED6869
557;Oyeyemi Helen;Node_alt_557;#79C074
558;Pacat CS;Node_alt_558;#79C074
559;Pamuk Orhan;Node_alt_559;#ED6869
560;Park Yeonmi;Node_alt_560;#79C074
561;Passarlay Gulwali;Node_alt_561;#ED6869
562;Passos John Dos;Node_alt_562;#ED6869
