Id;Label;AltLabel;sex;historical_period;continent;translated;nobel;all_prizes
858;Segal Erich;Node_alt_858;0;1970;2;0;0;0
859;Selasi Taiye;Node_alt_859;1;2013;5;0;0;1
860;Selvadurai Shyam;Node_alt_860;0;1994;4;0;0;0
861;Sewell Anna;Node_alt_861;1;1877;1;0;0;1
862;Sharp Margery;Node_alt_862;1;1946;1;0;0;0
863;Sheldon Sidney;Node_alt_863;0;1971;2;0;0;0
864;Shields Carol;Node_alt_864;1;1993;2;0;0;1
865;Shimada Soji;Node_alt_865;0;1982;4;1;0;0
866;Shreve Anita;Node_alt_866;1;1998;2;0;0;0
867;Sienkiewicz Henryk;Node_alt_867;0;1896;1;1;1;1
868;Smith Zadie;Node_alt_868;1;2014;1;0;0;1
869;Sontag Susan;Node_alt_869;1;1996;2;0;0;1
870;Spyri Johanna;Node_alt_870;1;1880;1;1;0;0
871;Stegner Wallace;Node_alt_871;0;1971;2;0;0;1
872;Sterne Laurence;Node_alt_872;0;1764;1;0;0;0
873;Stockett Kathryn;Node_alt_873;1;2009;2;0;0;0
874;Stone Irving;Node_alt_874;0;1934;2;0;0;0
875;Stout Rex;Node_alt_875;0;1935;2;0;0;0
876;Stuart Douglas;Node_alt_876;0;2020;1;0;0;1
877;Styron William;Node_alt_877;0;1973;2;0;0;1
878;Tagore Rabindranath;Node_alt_878;0;1916;4;1;1;1
879;Tarkington Booth;Node_alt_879;0;1920;2;0;0;1
880;Tarttelin Abigail;Node_alt_880;1;2013;1;0;0;0
881;Thirkell Angela;Node_alt_881;1;1937;1;0;0;0
882;Toole John Kennedy;Node_alt_882;0;1980;2;0;0;1
883;Townsend Sue;Node_alt_883;1;1982;1;0;0;0
884;Trollope Anthony;Node_alt_884;0;1868;1;0;0;0
885;Tucker Wilson;Node_alt_885;0;1962;2;0;0;0
886;Tyler Anne;Node_alt_886;1;1988;2;0;0;1
887;Tyszka Alberto Barrera;Node_alt_887;0;2006;3;1;0;0
888;Updike John;Node_alt_888;0;1981;2;0;0;1
889;Van Dine SS;Node_alt_889;0;1928;2;0;0;0
890;Vidal Gore;Node_alt_890;0;1946;2;1;0;0
891;Villalobos Juan Pablo;Node_alt_891;0;2016;3;1;0;0
892;Novalis Novalis;Node_alt_892;0;1802;1;1;0;0
893;Wallace Lew;Node_alt_893;0;1880;2;0;0;0
894;Walser Robert;Node_alt_894;0;1908;1;1;0;0
895;Wambaugh Joseph;Node_alt_895;0;1977;2;0;0;0
896;Wells HG;Node_alt_896;0;1896;1;0;0;0
897;Welty Eudora;Node_alt_897;1;1972;2;0;0;1
898;Westlake Donald;Node_alt_898;0;1966;2;0;0;0
899;Whitehead Colson;Node_alt_899;0;2018;2;0;0;1
900;Winfrey Oprah;Node_alt_900;1;2014;2;0;0;0
901;Wouk Herman;Node_alt_901;0;1951;2;0;0;1
902;Wyndham John;Node_alt_902;0;1952;2;0;0;0
903;Young William;Node_alt_903;0;2007;2;0;0;0
904;Zambra Alejandro;Node_alt_904;0;2009;3;1;0;0
905;Faber Michael;Node_alt_905;0;2002;1;0;0;0
906;Butler Octavia;Node_alt_906;1;1986;2;0;0;0
907;Miller Madeline;Node_alt_907;1;2015;2;0;0;1
908;Serrano Marcela;Node_alt_908;1;2011;3;1;0;0
909;Smith Wilbur;Node_alt_909;0;1975;1;0;0;1
910;Aboulela Leila;Node_alt_910;1;2010;5;0;0;0
911;Acker Kathy;Node_alt_911;1;1984;2;0;0;0
